zip,median_income,district,crime_incidents_2022,education,housing,total_population,income_norm,crime_norm,education_norm,housing_norm,density_norm,composite_score,rank,income_pct,crime_pct,education_pct,housing_pct,density_pct,income_contrib,crime_contrib,education_contrib,housing_contrib,density_contrib,contrib_sum_check,score_index,income_vs_city_avg,crime_vs_city_avg,education_vs_city_avg,housing_vs_city_avg,population_vs_city_avg,income_level,crime_level,education_level,housing_affordability,density_level,Neighbourhood
02110,126157.0,A1,8520,85.0,2939,2337.0,0.6246201354528547,0.1763127187864643,0.8876560332871013,0.2423458387235877,0.9793772521482028,0.5241713131767879,11,62.462013545285465,17.63127187864643,88.76560332871013,24.23458387235877,97.93772521482028,0.1561550338632136,0.044078179696616,0.1775312066574202,0.0484691677447175,0.0979377252148202,0.5241713131767878,52.41713131767879,27142.142857142855,1079.035714285715,24.214285714285715,823.25,-21212.928571428572,High,Moderate,High,Expensive,Spacious,Financial District
02114,121418.0,A1,8520,83.9,2698,13356.0,0.5913604940870969,0.1763127187864643,0.8723994452149794,0.346269943941354,0.7757553358588192,0.513227714635539,12,59.13604940870969,17.63127187864643,87.23994452149793,34.6269943941354,77.57553358588191,0.1478401235217742,0.044078179696616,0.1744798890429958,0.0692539887882708,0.0775755335858819,0.5132277146355388,51.3227714635539,22403.142857142855,1079.035714285715,23.11428571428572,582.25,-10193.928571428572,High,Moderate,High,Expensive,Spacious,West End
02116,131648.0,D4,9592,77.3,2255,22286.0,0.663157525353546,0.0512252042007,0.7808599167822469,0.5373005605864597,0.6107363947149589,0.5033014173337987,13,66.3157525353546,5.12252042007,78.08599167822469,53.73005605864597,61.07363947149589,0.1657893813383865,0.012806301050175,0.1561719833564493,0.1074601121172919,0.0610736394714958,0.5033014173337987,50.330141733379875,32633.142857142855,2151.0357142857147,16.514285714285712,139.25,-1263.9285714285725,High,Risky,High,Moderate,Moderate,Back Bay
02136,91579.0,E18,4109,32.9,1588,39498.0,0.381941958802681,0.6910151691948658,0.1650485436893203,0.8249245364381199,0.2926730111798946,0.4955011991428643,14,38.1941958802681,69.10151691948658,16.50485436893203,82.49245364381198,29.267301117989454,0.0954854897006702,0.1727537922987164,0.033009708737864,0.164984907287624,0.0292673011179894,0.4955011991428643,49.55011991428643,-7435.857142857145,-3331.9642857142853,-27.88571428571429,-527.75,15948.071428571428,Medium,Safe,Low,Affordable,Crowded,Hyde Park
02135,87603.0,D14,5654,71.0,2154,44480.0,0.3540372670807453,0.5107351225204201,0.6934812760055479,0.5808538163001293,0.2006098124364779,0.4911210971050746,15,35.40372670807453,51.07351225204201,69.34812760055479,58.08538163001293,20.06098124364779,0.0885093167701863,0.127683780630105,0.1386962552011096,0.1161707632600258,0.0200609812436477,0.4911210971050746,49.11210971050746,-11411.857142857143,-1786.964285714285,10.214285714285715,38.25,20930.071428571428,Medium,Safe,Medium,Moderate,Crowded,Brighton
02128,84023.0,A7,3719,35.6,1942,45357.0,0.3289118152788012,0.7365227537922987,0.20249653259362,0.6722725312634756,0.1844035849579599,0.4597528135349901,16,32.89118152788012,73.65227537922988,20.249653259362,67.22725312634756,18.440358495795987,0.0822279538197003,0.1841306884480746,0.040499306518724,0.1344545062526951,0.0184403584957959,0.4597528135349901,45.97528135349901,-14991.857142857143,-3721.964285714286,-25.185714285714283,-173.75,21807.071428571428,Medium,Safe,Low,Moderate,Crowded,East Boston
02111,72321.0,A1,8520,61.5,1873,8417.0,0.2467838719865249,0.1763127187864643,0.5617198335644938,0.7020267356619232,0.8670239305183406,0.4452258545903648,17,24.67838719865249,17.63127187864643,56.17198335644938,70.20267356619232,86.70239305183406,0.0616959679966312,0.044078179696616,0.1123439667128987,0.1404053471323846,0.086702393051834,0.4452258545903648,44.52258545903648,-26693.857142857145,1079.035714285715,0.7142857142857153,-242.75,-15132.928571428572,Low,Moderate,Medium,Affordable,Spacious,Chinatown / Leather District
02199,111786.0,D4,9592,90.5,3413,1221.0,0.5237603958311401,0.0512252042007,0.9639389736477116,0.0379473911168607,1.0,0.4441236729608745,18,52.37603958311401,5.12252042007,96.39389736477116,3.79473911168607,100.0,0.130940098957785,0.012806301050175,0.1927877947295423,0.0075894782233721,0.1,0.4441236729608745,44.41236729608745,12771.142857142857,2151.0357142857147,29.714285714285715,1297.25,-22328.928571428572,Medium,Risky,High,Expensive,Spacious,Back Bay
02118,74155.0,D4,9592,54.8,1485,28392.0,0.2596554023230515,0.0512252042007,0.4687933425797503,0.869340232858991,0.4979026148018109,0.3951371281988673,19,25.965540232305152,5.12252042007,46.87933425797503,86.9340232858991,49.790261480181094,0.0649138505807628,0.012806301050175,0.09375866851595,0.1738680465717982,0.049790261480181,0.3951371281988672,39.513712819886734,-24859.857142857145,2151.0357142857147,-5.9857142857142875,-630.75,4842.0714285714275,Low,Risky,Medium,Affordable,Crowded,South End
02215,64138.0,D4,9592,83.7,2308,24522.0,0.1893532652559918,0.0512252042007,0.8696255201109571,0.5144458818456231,0.5694169823523977,0.3939005959907288,20,18.93532652559918,5.12252042007,86.96255201109571,51.44458818456231,56.94169823523977,0.0473383163139979,0.012806301050175,0.1739251040221914,0.1028891763691246,0.0569416982352397,0.3939005959907287,39.39005959907288,-34876.857142857145,2151.0357142857147,22.91428571428572,192.25,972.0714285714276,Low,Risky,High,Expensive,Moderate,Fenway / Kenmore
02126,66689.0,B3,7316,23.6,1566,24994.0,0.2072569042355335,0.3168028004667444,0.0360610263522885,0.8344113842173351,0.56069481659429,0.3611788899489232,21,20.72569042355335,31.68028004667444,3.60610263522885,83.44113842173351,56.069481659429,0.0518142260588833,0.0792007001166861,0.0072122052704577,0.166882276843467,0.056069481659429,0.3611788899489231,36.117888994892326,-32325.857142857145,-124.96428571428532,-37.18571428571428,-549.75,1444.0714285714275,Low,Moderate,Low,Affordable,Moderate,Mattapan
